Index,Method,Time,Latency,Packet_Loss,Throughput,Energy_Consumption
0,Normal,0,300.0000015707332,0.0,0,0.0
0,Normal,0,437.1287708097067,0.0,0,0.0
1,Normal,0,300.0000016152731,0.0,0,0.0
1,Normal,0,461.54030673678693,0.0,0,0.0
2,Normal,0,300.00000145099585,0.0,0,0.0
2,Normal,0,462.5167366930217,0.0,0,0.0
3,Normal,0,300.00000145099585,0.0,0,0.0
3,Normal,0,473.64229104857907,0.0,0,0.0
4,Normal,0,300.0000008886211,0.0,0,0.0
4,Normal,0,470.5950784079768,0.0,0,0.0
5,Normal,0,300.00000186168074,1.6033989945947453,0,0.0
5,Normal,0,428.2989921274235,1,0,0.0
6,Normal,0,300.00000428298773,3.297449451851708,0,0.0
6,Normal,0,423.45609696692225,2,0,0.0
7,Normal,0,300.000002947467,1.4994835836871054,0,0.0
7,Normal,0,420.2223689126497,1,0,0.0
8,Normal,0,300.0000015203723,0.0,0,0.0
8,Normal,0,425.74348673530915,0.0,0,0.0
9,Normal,0,300.0000019638159,1.0077723163168917,0,0.0
9,Normal,0,403.8950547122874,1,0,0.0
0,Normal,1,300.0000015688242,0.0,147.64282813904433,1.4764282813904432
0,Normal,1,469.3737311308632,0.0,147.64282813904433,1.4764282813904432
1,Normal,1,300.0000016135248,0.0,144.61408559375147,1.4461408559375146
1,Normal,1,449.69827687674024,0.0,144.61408559375147,1.4461408559375146
2,Normal,1,300.0000014469959,0.0,156.36749712020242,1.5636749712020241
2,Normal,1,413.5298871604744,0.0,156.36749712020242,1.5636749712020241
3,Normal,1,300.0000014470152,0.0,156.36605552873812,1.5636605552873812
3,Normal,1,417.40394939030165,0.0,156.36605552873812,1.5636605552873812
4,Normal,1,300.0000008874334,0.0,209.30212990986976,2.0930212990986976
4,Normal,1,442.295840089653,0.0,209.30212990986976,2.0930212990986976
5,Normal,1,300.0000018590584,1.3211261989385346,129.3812935301945,1.2938129353019452
5,Normal,1,442.8379282572764,1,129.3812935301945,1.2938129353019452
6,Normal,1,300.00000428192607,2.898721418012321,45.273692585225874,0.4527369258522587
6,Normal,1,436.48306663453184,2,45.273692585225874,0.4527369258522587
7,Normal,1,300.0000029434749,1.8141562977585912,80.99696241618118,0.8099696241618117
7,Normal,1,422.4581470987271,1,80.99696241618118,0.8099696241618117
8,Normal,1,300.00000152069003,0.0,151.00450837787622,1.5100450837787622
8,Normal,1,449.7788655156187,0.0,151.00450837787622,1.5100450837787622
9,Normal,1,300.0000019676184,1.906628173611388,123.30141014305843,1.2330141014305844
9,Normal,1,432.0479634254794,1,123.30141014305843,1.2330141014305844
0,Normal,2,300.00000156692306,0.0,147.77359198810066,1.4777359198810067
0,Normal,2,437.54602262759505,0.0,147.77359198810066,1.4777359198810067
1,Normal,2,300.00000161178446,0.0,144.73038571253704,1.4473038571253705
1,Normal,2,427.32278547945907,0.0,144.73038571253704,1.4473038571253705
2,Normal,2,300.000001442996,0.0,156.66648759114167,1.5666648759114168
2,Normal,2,453.1369613008366,0.0,156.66648759114167,1.5666648759114168
3,Normal,2,300.00000144303476,0.0,156.6635883084594,1.566635883084594
3,Normal,2,410.99440908002373,0.0,156.6635883084594,1.566635883084594
4,Normal,2,300.0000008862621,0.0,209.44531099656461,2.094453109965646
4,Normal,2,446.59404316057976,0.0,209.44531099656461,2.094453109965646
5,Normal,2,300.0000018564409,1.9195898234089035,129.5324302590075,1.295324302590075
5,Normal,2,449.5760692024831,1,129.5324302590075,1.295324302590075
6,Normal,2,300.0000042808679,2.3892522461313055,45.29492488684475,0.45294924886844745
6,Normal,2,432.12126012060855,2,45.29492488684475,0.45294924886844745
7,Normal,2,300.0000029394828,1.794579644141573,81.13533443130177,0.8113533443130178
7,Normal,2,447.28510521787234,1,81.13533443130177,0.8113533443130178
8,Normal,2,300.00000152101825,0.0,150.98121926932825,1.5098121926932826
8,Normal,2,449.81084620241546,0.0,150.98121926932825,1.5098121926932826
9,Normal,2,300.00000197142174,1.6462579261658847,123.09483622073644,1.2309483622073645
9,Normal,2,408.3598960769178,1,123.09483622073644,1.2309483622073645
0,Normal,3,300.0000015650299,0.0,147.90397279280685,1.4790397279280685
0,Normal,3,453.3332758028984,0.0,147.90397279280685,1.4790397279280685
1,Normal,3,300.0000016100522,0.0,144.84627531735634,1.4484627531735634
1,Normal,3,452.35212555886613,0.0,144.84627531735634,1.4484627531735634
2,Normal,3,300.0000014389961,0.0,156.96632166065993,1.5696632166065994
2,Normal,3,406.38189868279403,0.0,156.96632166065993,1.5696632166065994
3,Normal,3,300.00000143905436,0.0,156.96194838712222,1.5696194838712223
3,Normal,3,475.37814322872345,0.0,156.96194838712222,1.5696194838712223
4,Normal,3,300.0000008851074,0.0,209.58665754099357,2.0958665754099357
4,Normal,3,452.8368648294262,0.0,209.58665754099357,2.0958665754099357
5,Normal,3,300.00000185382834,1.7088143080909435,129.68350365268145,1.2968350365268146
5,Normal,3,447.76680751247295,1,129.68350365268145,1.2968350365268146
6,Normal,3,300.0000042798132,3.3968536758588987,45.31609673540639,0.4531609673540639
6,Normal,3,441.6650295262828,2,45.31609673540639,0.4531609673540639
7,Normal,3,300.0000029354907,1.8549455436377031,81.27393627120368,0.8127393627120368
7,Normal,3,462.55399621768225,1,81.27393627120368,0.8127393627120368
8,Normal,3,300.0000015213569,0.0,150.95719433157603,1.5095719433157604
8,Normal,3,425.50669183882593,0.0,150.95719433157603,1.5095719433157604
9,Normal,3,300.0000019752258,1.6364185896824806,122.88863935155119,1.2288863935155119
